comparison,pair,Cell type category,other Cell type category,symbol,delta,lambda,gene error mean,rank,level
12,dendritic t_cell,dendritic,t_cell,CTSZ,-2844.651996726068,10.06407889314422,0.29928790230625135,6,2
17,granulocyte natural_killer,granulocyte,natural_killer,ALOX5,-2827.0404579191986,9.159994978002246,0.1089811149247842,1,2
33,natural_killer granulocyte,natural_killer,granulocyte,CD247,-2782.5067962535486,9.00374896843423,0.05792812737584076,3,2
15,granulocyte mast_cell,granulocyte,mast_cell,ACTN1,-2765.757117337132,9.286554159709514,0.08803659649032777,4,2
38,t_cell dendritic,t_cell,dendritic,ETS1,-2755.536930476407,9.48096590080032,0.10931943765219787,3,2
40,t_cell mast_cell,t_cell,mast_cell,ETS1,-2735.5195405713835,9.48096590080032,0.10931943765219787,2,2
41,t_cell mono_derived,t_cell,mono_derived,ITK,-2728.5899841619776,8.833362461643372,0.04243555443578941,2,2
34,natural_killer mast_cell,natural_killer,mast_cell,KLRD1,-2727.500621109333,9.0133427927294,0.14162797674274247,8,2
39,t_cell granulocyte,t_cell,granulocyte,ITK,-2720.9863327761386,8.833362461643372,0.04243555443578941,1,2
35,natural_killer mono_derived,natural_killer,mono_derived,ENST00000555909,-2715.068853415676,9.179476032432643,0.06627175888895682,3,2
31,natural_killer b_cell,natural_killer,b_cell,KLRD1,-2708.4845330517514,9.0133427927294,0.14162797674274247,4,2
35,natural_killer mono_derived,natural_killer,mono_derived,CD247,-2665.929561941851,9.00374896843423,0.05792812737584076,4,2
33,natural_killer granulocyte,natural_killer,granulocyte,RPS18,-2661.6732360358947,9.015873688292753,0.041334376770002325,4,2
40,t_cell mast_cell,t_cell,mast_cell,ENST00000548222,-2597.6563288130296,8.967968124676958,0.038623328550375605,3,2
33,natural_killer granulocyte,natural_killer,granulocyte,KLRD1,-2596.792767558754,9.0133427927294,0.14162797674274247,5,2
13,granulocyte b_cell,granulocyte,b_cell,PYGL,-2580.079347310452,9.564200143813139,0.11321291474743914,4,2
1,b_cell dendritic,b_cell,dendritic,HNRPDL,-2573.680103350623,8.87907025380268,0.0337984855082464,1,2
34,natural_killer mast_cell,natural_killer,mast_cell,FLJ43663,-2572.766361341595,8.633512101676637,0.0862270026755958,9,2
35,natural_killer mono_derived,natural_killer,mono_derived,FLJ43663,-2535.943850571798,8.633512101676637,0.0862270026755958,5,2
38,t_cell dendritic,t_cell,dendritic,ENST00000406049,-2486.8213118727294,9.748481538965256,0.04467500928696553,4,2
13,granulocyte b_cell,granulocyte,b_cell,ACTN1,-2485.795556436639,9.286554159709514,0.08803659649032777,5,2
30,mono_derived t_cell,mono_derived,t_cell,ASAH1,-2484.54783519234,9.4485829240218,0.04158556678094727,3,2
38,t_cell dendritic,t_cell,dendritic,"RPL13AP5,p1",-2484.3511068206712,9.65213192707072,0.08552396554461535,5,2
17,granulocyte natural_killer,granulocyte,natural_killer,NCF2,-2461.464719838272,9.946588606501148,0.14560522636258158,2,2
31,natural_killer b_cell,natural_killer,b_cell,CTSW,-2460.623870729472,9.342785072175252,0.2079127134119067,5,2
33,natural_killer granulocyte,natural_killer,granulocyte,FYN,-2459.7069149140098,8.810260529865126,0.06929382780941765,6,2
35,natural_killer mono_derived,natural_killer,mono_derived,KLRD1,-2459.6471524293074,9.0133427927294,0.14162797674274247,6,2
15,granulocyte mast_cell,granulocyte,mast_cell,LSP1,-2455.4808920733103,9.912520862614695,0.12044849631014713,5,2
18,granulocyte t_cell,granulocyte,t_cell,PYGL,-2414.23746430064,9.564200143813139,0.11321291474743914,3,2
1,b_cell dendritic,b_cell,dendritic,"CCDC19,p1",-2351.095968666264,9.304939048141385,0.058264706886126304,2,2
14,granulocyte dendritic,granulocyte,dendritic,GPR97,-2316.41576319793,9.565555632643866,0.2158358226836966,3,2
15,granulocyte mast_cell,granulocyte,mast_cell,GPR97,-2316.0404234863713,9.565555632643866,0.2158358226836966,6,2
38,t_cell dendritic,t_cell,dendritic,ENST00000548222,-2314.249075908606,8.967968124676958,0.038623328550375605,6,2
17,granulocyte natural_killer,granulocyte,natural_killer,PYGL,-2309.0883854707185,9.564200143813139,0.11321291474743914,3,2
41,t_cell mono_derived,t_cell,mono_derived,ENST00000548222,-2307.4822493287284,8.967968124676958,0.038623328550375605,3,2
41,t_cell mono_derived,t_cell,mono_derived,SPOCK2,-2279.9977121331403,9.1962054018453,0.09873533897013423,4,2
14,granulocyte dendritic,granulocyte,dendritic,LOC100507217,-2258.372570585977,9.456661311762222,0.143101039460182,4,2
18,granulocyte t_cell,granulocyte,t_cell,GPR97,-2255.6439779795655,9.565555632643866,0.2158358226836966,4,2
13,granulocyte b_cell,granulocyte,b_cell,GPR97,-2250.7653023824764,9.565555632643866,0.2158358226836966,6,2
13,granulocyte b_cell,granulocyte,b_cell,C10orf54,-2249.6506560038974,9.881338836888096,0.20122892046014781,7,2
39,t_cell granulocyte,t_cell,granulocyte,RPS18,-2224.7236783937833,9.749717772220524,0.05590789791109774,2,2
9,dendritic mast_cell,dendritic,mast_cell,HLA-DPB1,-2170.3863733521825,9.596782441118215,0.08019721903952329,5,2
3,b_cell mast_cell,b_cell,mast_cell,IRF8,-2159.8537198035256,8.727773354347216,0.05948016233110582,4,2
40,t_cell mast_cell,t_cell,mast_cell,FAM65B,-2126.8148276513543,8.895665203461423,0.06064058963705683,4,2
38,t_cell dendritic,t_cell,dendritic,FAM65B,-2091.262724144676,8.895665203461423,0.06064058963705683,7,2
17,granulocyte natural_killer,granulocyte,natural_killer,NCF4,-2085.3686929024175,8.927135110965054,0.06539113842636625,4,2
17,granulocyte natural_killer,granulocyte,natural_killer,GPR97,-2070.136222259836,9.565555632643866,0.2158358226836966,5,2
15,granulocyte mast_cell,granulocyte,mast_cell,MXD1,-2068.677602872567,10.44725825572515,0.22648690976534333,7,2
15,granulocyte mast_cell,granulocyte,mast_cell,C1orf38,-2068.0580634415956,9.583899371237635,0.24289094112888143,8,2
40,t_cell mast_cell,t_cell,mast_cell,LCK,-2048.2594000708914,8.346295721123782,0.07712184342625991,5,2
7,dendritic b_cell,dendritic,b_cell,CU692482,-2035.4983626612056,9.551362674550937,0.05318446263870458,3,2
38,t_cell dendritic,t_cell,dendritic,LCK,-2032.1526074824155,8.346295721123782,0.07712184342625991,8,2
14,granulocyte dendritic,granulocyte,dendritic,NCF4,-2023.480317050529,8.927135110965054,0.06539113842636625,5,2
9,dendritic mast_cell,dendritic,mast_cell,HLA-DPA1,-2019.5481113235346,10.299389825121679,0.21202224701394326,6,2
31,natural_killer b_cell,natural_killer,b_cell,FLJ43663,-2017.5337385208268,8.633512101676637,0.0862270026755958,6,2
17,granulocyte natural_killer,granulocyte,natural_killer,ACTN1,-1967.1905771015204,9.286554159709514,0.08803659649032777,6,2
8,dendritic granulocyte,dendritic,granulocyte,HLA-DPB1,-1945.1638086658616,9.596782441118215,0.08019721903952329,5,2
2,b_cell granulocyte,b_cell,granulocyte,IRF8,-1912.0752543167835,8.727773354347216,0.05948016233110582,3,2
41,t_cell mono_derived,t_cell,mono_derived,LCK,-1872.0935515111698,8.346295721123782,0.07712184342625991,5,2
37,t_cell b_cell,t_cell,b_cell,ENST00000548222,-1847.351011897757,8.967968124676958,0.038623328550375605,2,2
39,t_cell granulocyte,t_cell,granulocyte,LCK,-1838.957575585096,8.346295721123782,0.07712184342625991,3,2
9,dendritic mast_cell,dendritic,mast_cell,LSP1,-1837.97451193503,8.661392468038228,0.10821243380630428,7,2
33,natural_killer granulocyte,natural_killer,granulocyte,ENST00000536809,-1816.896001531246,8.727831699897445,0.08898275009232748,7,2
35,natural_killer mono_derived,natural_killer,mono_derived,RORA,-1813.7951080015841,8.596566532917041,0.0748540291552958,7,2
33,natural_killer granulocyte,natural_killer,granulocyte,IL2RB,-1789.8820697220513,9.337758927192649,0.1448912259475971,8,2
39,t_cell granulocyte,t_cell,granulocyte,RPS6,-1783.2043226017686,10.024046871803769,0.041722127124896424,4,2
40,t_cell mast_cell,t_cell,mast_cell,ITGB2,-1769.1066723659335,8.776379328510147,0.05768431545819684,6,2
31,natural_killer b_cell,natural_killer,b_cell,FYN,-1720.9651205879427,8.810260529865126,0.06929382780941765,7,2
39,t_cell granulocyte,t_cell,granulocyte,RPL35A,-1717.7089529910206,8.974279218060882,0.04375053890863016,5,2
15,granulocyte mast_cell,granulocyte,mast_cell,UNC13D,-1715.3820698714162,8.412953522430648,0.06545696500173614,9,2
18,granulocyte t_cell,granulocyte,t_cell,MXD1,-1714.024407626334,10.44725825572515,0.22648690976534333,5,2
35,natural_killer mono_derived,natural_killer,mono_derived,"HIST1H2AG,p1",-1712.4991308422277,9.306355620117564,0.0519632629822695,8,2
40,t_cell mast_cell,t_cell,mast_cell,RASGRP1,-1711.4159404899935,7.978635302296324,0.022495578215060808,7,2
6,b_cell t_cell,b_cell,t_cell,IRF8,-1709.4959660237237,8.727773354347216,0.05948016233110582,2,2
35,natural_killer mono_derived,natural_killer,mono_derived,ENST00000548222,-1704.058584526379,8.171580228814088,0.09187110393363973,9,2
9,dendritic mast_cell,dendritic,mast_cell,ITGB2,-1704.0144082147583,10.236529921870574,0.23604614424123696,8,2
14,granulocyte dendritic,granulocyte,dendritic,S69623,-1697.704742477064,9.987502293497734,0.24977953473546716,6,2
33,natural_killer granulocyte,natural_killer,granulocyte,RPL31,-1685.8218248732583,8.658330871672552,0.05826063177542141,9,2
28,mono_derived mast_cell,mono_derived,mast_cell,NCF2,-1681.5193508505354,9.019832473914033,0.054207864175174605,4,2
28,mono_derived mast_cell,mono_derived,mast_cell,CYBB,-1673.9751637851855,9.406048188821075,0.17325493172738063,5,2
28,mono_derived mast_cell,mono_derived,mast_cell,LTA4H,-1669.38963326403,8.780123297842724,0.027552501589232253,6,2
17,granulocyte natural_killer,granulocyte,natural_killer,GCA,-1642.917900204403,10.013038838421513,0.17712997415585752,7,2
18,granulocyte t_cell,granulocyte,t_cell,C10orf54,-1606.7147571632963,9.881338836888096,0.20122892046014781,6,2
13,granulocyte b_cell,granulocyte,b_cell,MXD1,-1582.911868938938,10.44725825572515,0.22648690976534333,8,2
11,dendritic natural_killer,dendritic,natural_killer,CTSZ,-1575.4880909258213,10.06407889314422,0.29928790230625135,3,2
12,dendritic t_cell,dendritic,t_cell,ITGAX,-1530.154844056854,9.435894270735478,0.11951243072817869,7,2
2,b_cell granulocyte,b_cell,granulocyte,ENST00000423610,-1526.757210721739,8.142930107399746,0.049355778726041424,4,2
40,t_cell mast_cell,t_cell,mast_cell,CD247,-1509.8023458625912,8.150750694793608,0.06817195068809484,8,2
9,dendritic mast_cell,dendritic,mast_cell,CTSS,-1497.1086505424614,9.670650479580946,0.11567616667991976,9,2
2,b_cell granulocyte,b_cell,granulocyte,RPS18,-1495.1982656473233,9.635134450837281,0.06304777586274637,5,2
38,t_cell dendritic,t_cell,dendritic,CD247,-1465.3637805257783,8.150750694793608,0.06817195068809484,9,2
31,natural_killer b_cell,natural_killer,b_cell,KLRB1,-1456.0705358691214,8.384936576067295,0.1043246773006976,8,2
31,natural_killer b_cell,natural_killer,b_cell,ITK,-1449.575645995048,7.962371984350027,0.04384614488450699,9,2
3,b_cell mast_cell,b_cell,mast_cell,CXCR4,-1438.591418317967,9.836555753470815,0.13841530455190462,5,2
37,t_cell b_cell,t_cell,b_cell,CD247,-1394.0326009403962,8.150750694793608,0.06817195068809484,3,2
14,granulocyte dendritic,granulocyte,dendritic,ALOX5,-1358.4680742371934,9.159994978002246,0.1089811149247842,7,2
41,t_cell mono_derived,t_cell,mono_derived,"CALM1,p1",-1353.8100633099402,9.586716353338765,0.015484793723968781,6,2
13,granulocyte b_cell,granulocyte,b_cell,IL17RA,-1344.5471767603972,9.227662422599122,0.1367639257091841,9,2
3,b_cell mast_cell,b_cell,mast_cell,CIITA,-1343.5454647414228,8.940399877393293,0.09837458924506079,6,2
41,t_cell mono_derived,t_cell,mono_derived,RASGRP1,-1335.8257309978926,7.978635302296324,0.022495578215060808,7,2
39,t_cell granulocyte,t_cell,granulocyte,RPL24,-1305.4315653783706,8.583518146614734,0.039326425707755394,6,2
25,mono_derived b_cell,mono_derived,b_cell,ASAH1,-1301.557853850392,9.4485829240218,0.04158556678094727,4,2
2,b_cell granulocyte,b_cell,granulocyte,CD22,-1275.4989530611306,8.89129507085897,0.0918924787923924,6,2
39,t_cell granulocyte,t_cell,granulocyte,ENST00000423610,-1269.4139799305372,8.962082533959826,0.11461563265358901,7,2
6,b_cell t_cell,b_cell,t_cell,CD22,-1268.102447710822,8.89129507085897,0.0918924787923924,3,2
39,t_cell granulocyte,t_cell,granulocyte,CD247,-1261.0963290715767,8.150750694793608,0.06817195068809484,8,2
11,dendritic natural_killer,dendritic,natural_killer,"HSPA1A,p1",-1241.3233312036368,7.836979042387327,0.06696111599546128,4,2
30,mono_derived t_cell,mono_derived,t_cell,NCF2,-1218.69417897608,9.019832473914033,0.054207864175174605,4,2
18,granulocyte t_cell,granulocyte,t_cell,GCA,-1207.4876783955228,10.013038838421513,0.17712997415585752,7,2
28,mono_derived mast_cell,mono_derived,mast_cell,LSP1,-1173.717567564819,9.341513428726675,0.0792908966552829,7,2
28,mono_derived mast_cell,mono_derived,mast_cell,C1orf38,-1157.972083064419,8.726721665086414,0.07088910293394043,8,2
17,granulocyte natural_killer,granulocyte,natural_killer,TALDO1,-1150.1934129492197,9.284598208634039,0.10339651241789465,8,2
41,t_cell mono_derived,t_cell,mono_derived,CD247,-1144.5190947598792,8.150750694793608,0.06817195068809484,8,2
3,b_cell mast_cell,b_cell,mast_cell,HLA-DPA1,-1132.7076366788863,10.020423213275116,0.314891950844997,7,2
40,t_cell mast_cell,t_cell,mast_cell,TC2N,-1128.4642138279007,8.178477500913537,0.07506984227326899,9,2
18,granulocyte t_cell,granulocyte,t_cell,PLCG2,-1119.551468776348,8.714670106482512,0.27883619632779505,8,2
2,b_cell granulocyte,b_cell,granulocyte,ENST00000469811,-1115.60744897645,7.90362183200736,0.04060501257992151,7,2
3,b_cell mast_cell,b_cell,mast_cell,HLA-DMB,-1111.4824601652897,8.695131498309344,0.31042100807778794,8,2
7,dendritic b_cell,dendritic,b_cell,CTSZ,-1087.6609420956866,10.06407889314422,0.29928790230625135,4,2
39,t_cell granulocyte,t_cell,granulocyte,RPL36,-1081.8187431741626,8.837617671566651,0.047495668350954146,9,2
17,granulocyte natural_killer,granulocyte,natural_killer,C10orf54,-1056.058906352042,9.881338836888096,0.20122892046014781,9,2
14,granulocyte dendritic,granulocyte,dendritic,"ENST00000538676,p1",-1033.7906680963117,8.68624795070938,0.26545423433694004,8,2
14,granulocyte dendritic,granulocyte,dendritic,MLL5,-1029.8686996539004,8.121905530668935,0.12981529554910617,9,2
37,t_cell b_cell,t_cell,b_cell,SLFN5,-1028.9892659638062,8.49815102536672,0.05629646779740988,4,2
8,dendritic granulocyte,dendritic,granulocyte,TM7SF4,-1011.4078351799759,7.526921119112731,0.07833317432110798,6,2
12,dendritic t_cell,dendritic,t_cell,TM7SF4,-1009.6026309308398,7.526921119112731,0.07833317432110798,8,2
7,dendritic b_cell,dendritic,b_cell,TM7SF4,-1009.5004563517514,7.526921119112731,0.07833317432110798,5,2
11,dendritic natural_killer,dendritic,natural_killer,uc002iyl.2,-1001.9023889594735,8.194954596627863,0.18191332674599336,5,2
3,b_cell mast_cell,b_cell,mast_cell,HLA-DMA,-999.4652607485289,8.632807945496069,0.13223623597331066,9,2
12,dendritic t_cell,dendritic,t_cell,uc002iyl.2,-996.9617853210874,8.194954596627863,0.18191332674599336,9,2
18,granulocyte t_cell,granulocyte,t_cell,LPCAT2,-995.9291662982162,8.198914336837655,0.13722975891155653,9,2
8,dendritic granulocyte,dendritic,granulocyte,HLA-DPA1,-992.5539000928525,10.299389825121679,0.21202224701394326,7,2
7,dendritic b_cell,dendritic,b_cell,uc002iyl.2,-989.882545786592,8.194954596627863,0.18191332674599336,6,2
7,dendritic b_cell,dendritic,b_cell,SEPN1,-989.6516206104867,8.067896896265376,0.09158234511316872,7,2
11,dendritic natural_killer,dendritic,natural_killer,TM7SF4,-989.3601175013259,7.526921119112731,0.07833317432110798,6,2
28,mono_derived mast_cell,mono_derived,mast_cell,CECR1,-988.7496062917578,7.824786248151017,0.07761616003556297,9,2
8,dendritic granulocyte,dendritic,granulocyte,uc002iyl.2,-985.3237963253694,8.194954596627863,0.18191332674599336,8,2
41,t_cell mono_derived,t_cell,mono_derived,TC2N,-982.5756517930461,8.178477500913537,0.07506984227326899,9,2
8,dendritic granulocyte,dendritic,granulocyte,CD86,-956.9522287518804,8.527564096991954,0.18763019970657607,9,2
2,b_cell granulocyte,b_cell,granulocyte,ENST00000443998,-938.6721809274744,7.776998878879908,0.052248756690233183,8,2
7,dendritic b_cell,dendritic,b_cell,ITGAX,-932.6262627304616,9.435894270735478,0.11951243072817869,8,2
37,t_cell b_cell,t_cell,b_cell,PRKCH,-918.5844261771122,8.116284897043567,0.05850211895797226,5,2
27,mono_derived granulocyte,mono_derived,granulocyte,CECR1,-882.6669394122343,7.824786248151017,0.07761616003556297,1,2
4,b_cell mono_derived,b_cell,mono_derived,CD22,-882.6420378652051,8.89129507085897,0.0918924787923924,2,2
2,b_cell granulocyte,b_cell,granulocyte,RPL24,-827.4743333584922,8.392410317528713,0.053363312173973255,9,2
10,dendritic mono_derived,dendritic,mono_derived,uc002iyl.2,-820.9819505310069,8.194954596627863,0.18191332674599336,1,2
25,mono_derived b_cell,mono_derived,b_cell,NCF2,-805.3369506865719,9.019832473914033,0.054207864175174605,5,2
30,mono_derived t_cell,mono_derived,t_cell,GRN,-781.5376138456928,9.531556351216327,0.10959376845216011,5,2
6,b_cell t_cell,b_cell,t_cell,CIITA,-765.2223772551442,8.940399877393293,0.09837458924506079,4,2
11,dendritic natural_killer,dendritic,natural_killer,PPAP2B,-757.439939449627,7.8501761093179265,0.2448988724838189,7,2
1,b_cell dendritic,b_cell,dendritic,KIAA0922,-745.3763494646577,7.820161635966924,0.1012850754771075,3,2
37,t_cell b_cell,t_cell,b_cell,CD6,-744.9687588177205,8.245055177496836,0.09955036839478963,6,2
37,t_cell b_cell,t_cell,b_cell,LCP2,-744.2914500441118,7.7996220827790665,0.034891026437458096,7,2
29,mono_derived natural_killer,mono_derived,natural_killer,"MS4A14,p1",-742.4729125750023,9.101720455314613,0.12568744611354138,3,2
37,t_cell b_cell,t_cell,b_cell,uc011kss.1,-742.2076415982771,7.911815980823086,0.06859091479586017,8,2
7,dendritic b_cell,dendritic,b_cell,QSOX1,-740.58898069965,8.836173306795848,0.30463699170221065,9,2
6,b_cell t_cell,b_cell,t_cell,IGHM,-736.6241866787776,9.761418856539848,0.1810806620200936,5,2
5,b_cell natural_killer,b_cell,natural_killer,IGHM,-718.7534115023698,9.761418856539848,0.1810806620200936,1,2
37,t_cell b_cell,t_cell,b_cell,CD5,-703.7959480852005,8.41220374837157,0.10087830250406925,9,2
30,mono_derived t_cell,mono_derived,t_cell,EMILIN2,-681.9592119239195,8.162799957310886,0.12556113011915604,6,2
27,mono_derived granulocyte,mono_derived,granulocyte,ENST00000423610,-670.855787083669,8.507866240898466,0.22181593885395232,2,2
30,mono_derived t_cell,mono_derived,t_cell,RNF130,-663.7205680818068,8.333279034636599,0.10695792202045792,7,2
1,b_cell dendritic,b_cell,dendritic,IGJ,-663.3888629538,9.850326595782697,0.36830647281787837,4,2
6,b_cell t_cell,b_cell,t_cell,HLA-DMB,-655.824659962309,8.695131498309344,0.31042100807778794,6,2
25,mono_derived b_cell,mono_derived,b_cell,RNF130,-654.1925163093769,8.333279034636599,0.10695792202045792,6,2
5,b_cell natural_killer,b_cell,natural_killer,IGJ,-641.7872185523322,9.850326595782697,0.36830647281787837,2,2
6,b_cell t_cell,b_cell,t_cell,CD79A,-636.1604799365007,9.54342540405424,0.38910290833397226,7,2
4,b_cell mono_derived,b_cell,mono_derived,IGHM,-633.40809443177,9.761418856539848,0.1810806620200936,3,2
4,b_cell mono_derived,b_cell,mono_derived,CD19,-610.3960833071131,7.922834256961548,0.10870505633073865,4,2
6,b_cell t_cell,b_cell,t_cell,CD19,-604.6100835506968,7.922834256961548,0.10870505633073865,8,2
30,mono_derived t_cell,mono_derived,t_cell,RAB31,-603.6384354272038,7.830883242571717,0.035827465675514154,8,2
29,mono_derived natural_killer,mono_derived,natural_killer,ASAH1,-566.1359778292717,9.4485829240218,0.04158556678094727,4,2
16,granulocyte mono_derived,granulocyte,mono_derived,DAPK2,-560.5237680267023,7.808143017149353,0.25531676973644885,1,2
4,b_cell mono_derived,b_cell,mono_derived,IGJ,-554.4052943095168,9.850326595782697,0.36830647281787837,5,2
6,b_cell t_cell,b_cell,t_cell,IGJ,-551.9601724951987,9.850326595782697,0.36830647281787837,9,2
30,mono_derived t_cell,mono_derived,t_cell,CORO1C,-549.2588893396282,8.154093369708,0.07246858619568053,9,2
25,mono_derived b_cell,mono_derived,b_cell,PLBD1,-512.8494789160109,8.155033049101872,0.06676171888105789,7,2
16,granulocyte mono_derived,granulocyte,mono_derived,PLCG2,-503.87036096833594,8.714670106482512,0.27883619632779505,2,2
4,b_cell mono_derived,b_cell,mono_derived,TNFRSF13C,-501.38395740321903,8.672253452523819,0.131708709504922,6,2
1,b_cell dendritic,b_cell,dendritic,ENST00000469811,-500.45394335517904,7.90362183200736,0.04060501257992151,5,2
29,mono_derived natural_killer,mono_derived,natural_killer,"C17orf49,p1",-483.64182144914594,9.777814638485905,0.04686569880982017,5,2
4,b_cell mono_derived,b_cell,mono_derived,IKZF3,-467.83894256139115,8.180098537354272,0.16242322807997173,7,2
27,mono_derived granulocyte,mono_derived,granulocyte,ENST00000435269,-460.0086619926551,8.246818318674848,0.09743094777160814,3,2
11,dendritic natural_killer,dendritic,natural_killer,SQRDL,-458.00556649224046,8.131421328215954,0.11000097818445383,8,2
5,b_cell natural_killer,b_cell,natural_killer,ENST00000429730,-454.9771548893455,7.02559114923546,0.11360120368355393,3,2
11,dendritic natural_killer,dendritic,natural_killer,ADRBK2,-454.0836336887262,7.785135569373551,0.23215309771860201,9,2
16,granulocyte mono_derived,granulocyte,mono_derived,GPR97,-447.729280708121,9.565555632643866,0.2158358226836966,3,2
4,b_cell mono_derived,b_cell,mono_derived,RAB30,-437.4501481831228,8.10941177300063,0.11445156680386633,8,2
25,mono_derived b_cell,mono_derived,b_cell,PLXDC2,-434.75776413787406,7.997942619539194,0.10164157534119776,8,2
4,b_cell mono_derived,b_cell,mono_derived,ETS1,-414.1095476879939,8.337708002892185,0.07646424156334153,9,2
16,granulocyte mono_derived,granulocyte,mono_derived,MBOAT2,-413.61740066185655,7.96071623045067,0.11175226437464066,4,2
25,mono_derived b_cell,mono_derived,b_cell,"MS4A14,p1",-400.7450276893453,9.101720455314613,0.12568744611354138,9,2
26,mono_derived dendritic,mono_derived,dendritic,"MS4A14,p1",-398.7020673722669,9.101720455314613,0.12568744611354138,1,2
27,mono_derived granulocyte,mono_derived,granulocyte,CNIH,-372.96535204819116,7.508238789501999,0.03809615574759606,4,2
16,granulocyte mono_derived,granulocyte,mono_derived,"LY75-CD302,p1",-369.01108802263127,7.417162196698859,0.09800634382532694,5,2
16,granulocyte mono_derived,granulocyte,mono_derived,MPZL3,-367.03471728394607,7.937837191274205,0.13482215727629943,6,2
16,granulocyte mono_derived,granulocyte,mono_derived,PYGL,-342.24363324449723,9.564200143813139,0.11321291474743914,7,2
16,granulocyte mono_derived,granulocyte,mono_derived,C1orf9,-338.06255753924415,7.322831932756717,0.2218040999293643,8,2
27,mono_derived granulocyte,mono_derived,granulocyte,SHFM1,-325.195315961794,6.711261706918947,0.04964959589077676,5,2
1,b_cell dendritic,b_cell,dendritic,ENST00000498453,-300.77532781959235,8.301562158379708,0.10487098938278513,6,2
5,b_cell natural_killer,b_cell,natural_killer,"AKAP2,p1",-279.5214295741833,7.62338539877439,0.09219082467015417,4,2
27,mono_derived granulocyte,mono_derived,granulocyte,CD86,-268.72874678269494,8.038595836239686,0.08343703645615494,6,2
10,dendritic mono_derived,dendritic,mono_derived,uc003igi.1,-262.6094577285005,6.752784275321288,0.10312728042190211,2,2
5,b_cell natural_killer,b_cell,natural_killer,CSDA,-259.18168284267415,7.336566903112482,0.08466494169306919,5,2
1,b_cell dendritic,b_cell,dendritic,ETS1,-258.7269921992943,8.337708002892185,0.07646424156334153,7,2
16,granulocyte mono_derived,granulocyte,mono_derived,NTNG2,-243.0374154727437,7.466330964036668,0.24276429849615036,9,2
29,mono_derived natural_killer,mono_derived,natural_killer,CTNNA1,-229.31839275825052,7.772247729298117,0.046590053707413814,6,2
10,dendritic mono_derived,dendritic,mono_derived,ENST00000421534,-222.7562934237861,6.448533331026869,0.12625694209580773,3,2
1,b_cell dendritic,b_cell,dendritic,TAF1D,-218.01578453243496,7.7778887150291824,0.04726546831108264,8,2
1,b_cell dendritic,b_cell,dendritic,"AKAP2,p1",-217.4496590988163,7.62338539877439,0.09219082467015417,9,2
27,mono_derived granulocyte,mono_derived,granulocyte,CPVL,-208.29768858368902,8.394127715776126,0.17877798762029254,7,2
36,natural_killer t_cell,natural_killer,t_cell,ENST00000555909,-205.8537371701541,9.179476032432643,0.06627175888895682,1,2
27,mono_derived granulocyte,mono_derived,granulocyte,VDAC1,-202.5188629708848,7.439243029872384,0.04552074940067949,8,2
10,dendritic mono_derived,dendritic,mono_derived,GALNTL4,-199.43000301022667,6.424404255472124,0.07974203519120349,4,2
36,natural_killer t_cell,natural_killer,t_cell,MCTP2,-196.33888918203365,8.226131701941338,0.08335803755473457,2,2
10,dendritic mono_derived,dendritic,mono_derived,SGK223,-179.72160382222697,6.949023160175772,0.05768782249693002,5,2
27,mono_derived granulocyte,mono_derived,granulocyte,PEA15,-177.0181817369486,7.565109828903809,0.07618025113280798,9,2
10,dendritic mono_derived,dendritic,mono_derived,ENST00000449270,-169.86572724059903,6.021841363249894,0.09767344452999294,6,2
36,natural_killer t_cell,natural_killer,t_cell,ENST00000478444,-157.48385102478574,7.9322992307707825,0.12829262862828106,3,2
36,natural_killer t_cell,natural_killer,t_cell,ENST00000365207,-148.0936063634631,8.137664592685347,0.07692081921646803,4,2
29,mono_derived natural_killer,mono_derived,natural_killer,TLR4,-126.93796844345297,8.532102928353488,0.06879471719524198,7,2
10,dendritic mono_derived,dendritic,mono_derived,"LY75-CD302,p1",-117.101781745724,7.2226804399179585,0.06836344723296217,7,2
29,mono_derived natural_killer,mono_derived,natural_killer,AB528017,-115.56632169106607,7.1415072529726,0.06977660457494332,8,2
5,b_cell natural_killer,b_cell,natural_killer,ENST00000521731,-114.96931411976786,5.6168075830324735,0.05218368334113747,6,2
5,b_cell natural_killer,b_cell,natural_killer,AJ294734,-111.01446114311622,6.18462031644874,0.10021225184423053,7,2
5,b_cell natural_killer,b_cell,natural_killer,J00257,-109.18260281717907,5.666983829574639,0.07425658004002335,8,2
29,mono_derived natural_killer,mono_derived,natural_killer,ADRBK2,-99.68391591948281,6.074950341431219,0.1361794444947396,9,2
10,dendritic mono_derived,dendritic,mono_derived,O3FAR1,-90.87084945370233,5.841932220341466,0.14600473654556834,8,2
10,dendritic mono_derived,dendritic,mono_derived,ENST00000437504,-78.06728359508541,5.311870467993089,0.16394013034102173,9,2
5,b_cell natural_killer,b_cell,natural_killer,FJ197674,-76.15612483996438,5.916548808289686,0.09526775435801867,9,2
36,natural_killer t_cell,natural_killer,t_cell,LYN,-75.76863745049627,7.803310097783704,0.13376539458553569,5,2
26,mono_derived dendritic,mono_derived,dendritic,KIAA0141,-74.5363881379107,6.768734435901248,0.046922056699041384,2,2
36,natural_killer t_cell,natural_killer,t_cell,NCAM1,-53.685337956451235,7.835537265761483,0.1310348076261555,6,2
