sample,error mean,pair,ct1,ct2,error min,error mean relative,n markers pass 1,n markers
202_dendritic granulocyte,0.036440362948029895,mono_derived granulocyte,mono_derived,granulocyte,0.05,0.85370209028712,57,NA
188_natural_killer t_cell,0.03519650371304013,mono_derived natural_killer,mono_derived,natural_killer,0.05,0.8390054077661255,53,NA
90_b_cell mono_derived,0.034303349187202806,dendritic mono_derived,dendritic,mono_derived,0.05,0.8282916055013814,31,NA
35_b_cell granulocyte,0.033833954863428696,t_cell b_cell,t_cell,b_cell,0.05,0.8226050676166382,47,NA
245_endothelial fibroblast,0.03383084486808427,epithelial endothelial,epithelial,endothelial,0.05,0.8225672600837487,41,NA
195_fibroblast immune_cell,0.033726671390668685,epithelial immune_cell,epithelial,immune_cell,0.05,0.8212998403831415,77,NA
85_epithelial fibroblast,0.032474266039616985,endothelial epithelial,endothelial,epithelial,0.05,0.8059065211253348,41,NA
6_fibroblast immune_cell,0.03216535234088849,endothelial immune_cell,endothelial,immune_cell,0.05,0.8020642410790858,62,NA
43_dendritic mast_cell,0.031467410138264526,t_cell dendritic,t_cell,dendritic,0.05,0.7933146934006016,54,NA
59_epithelial immune_cell,0.031240867516641176,fibroblast epithelial,fibroblast,epithelial,0.05,0.7904538888087169,75,NA
187_mast_cell t_cell,0.03059656297737665,natural_killer t_cell,natural_killer,t_cell,0.05,0.7822603527902542,59,NA
222_fibroblast immune_cell,0.030390032623014294,endothelial immune_cell,endothelial,immune_cell,0.05,0.7796157081923669,62,NA
266_mast_cell mono_derived,0.030164714056048668,fibroblast mono_derived,fibroblast,mono_derived,0.05,0.7767202077459896,NA,NA
207_granulocyte mono_derived,0.029895733529380734,dendritic granulocyte,dendritic,granulocyte,0.05,0.7732494232701468,70,NA
129_granulocyte natural_killer,0.028864195590052127,mono_derived natural_killer,mono_derived,natural_killer,0.05,0.7597920187795095,53,NA
61_b_cell dendritic,0.02810425053528189,mono_derived b_cell,mono_derived,b_cell,0.05,0.7497232894245969,29,NA
126_granulocyte mono_derived,0.028076647429713452,t_cell granulocyte,t_cell,granulocyte,0.05,0.7493550217315348,82,NA
13_dendritic granulocyte,0.02777770879666567,mono_derived dendritic,mono_derived,dendritic,0.05,0.7453550670206203,31,NA
104_mast_cell mono_derived,0.02761791144999722,t_cell mast_cell,t_cell,mast_cell,0.05,0.7432080657527502,37,NA
74_granulocyte mast_cell,0.027544862298943217,mono_derived granulocyte,mono_derived,granulocyte,0.05,0.7422245253148567,57,NA
56_endothelial fibroblast,0.02665265564700881,epithelial endothelial,epithelial,endothelial,0.05,0.7301048643449625,41,NA
124_dendritic mast_cell,0.0265865080113389,b_cell dendritic,b_cell,dendritic,0.05,0.7291982996598236,64,NA
265_mono_derived t_cell,0.026456936401212553,dendritic t_cell,dendritic,t_cell,0.05,0.7274192243983183,54,NA
180_granulocyte mono_derived,0.026233981200049952,b_cell granulocyte,b_cell,granulocyte,0.05,0.7243477231281942,32,NA
7_b_cell dendritic,0.025515526045781712,mono_derived b_cell,mono_derived,b_cell,0.05,0.7143602178982493,29,NA
209_granulocyte mast_cell,0.025266903217955935,mono_derived mast_cell,mono_derived,mast_cell,0.05,0.7108713416358255,60,NA
224_b_cell granulocyte,0.024003174835691924,t_cell b_cell,t_cell,b_cell,0.05,0.6928661463182038,47,NA
246_endothelial immune_cell,0.02386220625786306,epithelial immune_cell,epithelial,immune_cell,0.05,0.6908285787062238,77,NA
241_mast_cell t_cell,0.02386189990941912,natural_killer mast_cell,natural_killer,mast_cell,0.05,0.690824144184598,68,NA
142_b_cell dendritic,0.02326263065676354,mono_derived b_cell,mono_derived,b_cell,0.05,0.6820942846375938,29,NA
3_endothelial immune_cell,0.023074157806126705,fibroblast immune_cell,fibroblast,immune_cell,0.05,0.679325515583313,54,NA
176_dendritic mono_derived,0.022870338248704977,epithelial mono_derived,epithelial,mono_derived,0.05,0.6763185380973226,NA,NA
80_natural_killer t_cell,0.022369114219880602,mono_derived natural_killer,mono_derived,natural_killer,0.05,0.6688664174538979,53,NA
9_b_cell mono_derived,0.021412836866262837,granulocyte mono_derived,granulocyte,mono_derived,0.05,0.6544132771615019,57,NA
141_fibroblast immune_cell,0.021107005613408624,endothelial fibroblast,endothelial,fibroblast,0.05,0.6497231043053436,30,NA
82_endothelial epithelial,0.021084766393503807,fibroblast epithelial,fibroblast,epithelial,0.05,0.6493807264387172,75,NA
263_granulocyte mast_cell,0.020638177018837536,fibroblast mast_cell,fibroblast,mast_cell,0.05,0.6424667620793707,NA,NA
255_b_cell natural_killer,0.0199168762993055,t_cell b_cell,t_cell,b_cell,0.05,0.6311398624600651,47,NA
49_mono_derived t_cell,0.019861402831685488,granulocyte mono_derived,granulocyte,mono_derived,0.05,0.630260308629466,57,NA
229_dendritic granulocyte,0.019014212395817548,mono_derived granulocyte,mono_derived,granulocyte,0.05,0.616671912702655,57,NA
211_mono_derived t_cell,0.01872469898024913,natural_killer t_cell,natural_killer,t_cell,0.05,0.6119591322996843,59,NA
248_epithelial immune_cell,0.01852381425985933,fibroblast immune_cell,fibroblast,immune_cell,0.05,0.6086676311396776,54,NA
89_b_cell granulocyte,0.018005264410754212,mono_derived b_cell,mono_derived,b_cell,0.05,0.6000877337648922,29,NA
252_b_cell mono_derived,0.01718955343946331,granulocyte mono_derived,granulocyte,mono_derived,0.05,0.5863369925130651,57,NA
219_endothelial immune_cell,0.01714026433444819,epithelial immune_cell,epithelial,immune_cell,0.05,0.5854957614611431,77,NA
173_b_cell mast_cell,0.017072426654705507,dendritic b_cell,dendritic,b_cell,0.05,0.5843359762106985,64,NA
15_dendritic t_cell,0.017012410763430182,natural_killer dendritic,natural_killer,dendritic,0.05,0.5833079934893775,74,NA
134_natural_killer t_cell,0.016945065147057865,b_cell t_cell,b_cell,t_cell,0.05,0.582152302186599,47,NA
128_granulocyte mast_cell,0.01693289000923114,epithelial mast_cell,epithelial,mast_cell,0.05,0.5819431245273224,NA,NA
214_mast_cell t_cell,0.016299297084256186,natural_killer t_cell,natural_killer,t_cell,0.05,0.5709517857797834,59,NA
152_dendritic natural_killer,0.016241040740091736,mono_derived dendritic,mono_derived,dendritic,0.05,0.5699305350670683,31,NA
45_granulocyte mono_derived,0.01620586029861716,b_cell granulocyte,b_cell,granulocyte,0.05,0.5693129244733016,32,NA
30_endothelial immune_cell,0.015928805259458292,fibroblast immune_cell,fibroblast,immune_cell,0.05,0.5644254646887983,54,NA
237_granulocyte natural_killer,0.015306917441472098,t_cell natural_killer,t_cell,natural_killer,0.05,0.5532977036184427,59,NA
203_dendritic mono_derived,0.015150907816727854,b_cell dendritic,b_cell,dendritic,0.05,0.5504708496683154,64,NA
242_natural_killer t_cell,0.014796809155419114,b_cell natural_killer,b_cell,natural_killer,0.05,0.5440001682981195,54,NA
184_mono_derived t_cell,0.014023987157283976,granulocyte mono_derived,granulocyte,mono_derived,0.05,0.5296033828684249,57,NA
106_mast_cell t_cell,0.013960112152897894,natural_killer mast_cell,natural_killer,mast_cell,0.05,0.5283959150655481,68,NA
51_mono_derived natural_killer,0.013756794783789144,b_cell mono_derived,b_cell,mono_derived,0.05,0.5245339795244754,29,NA
166_epithelial fibroblast,0.013635852546821026,endothelial epithelial,endothelial,epithelial,0.05,0.5222231811557397,41,NA
155_granulocyte mast_cell,0.013317431083639083,mono_derived mast_cell,mono_derived,mast_cell,0.05,0.5160897418790472,60,NA
181_granulocyte t_cell,0.012822860527408652,natural_killer t_cell,natural_killer,t_cell,0.05,0.5064160449158113,59,NA
238_mono_derived t_cell,0.012617611156267543,granulocyte t_cell,granulocyte,t_cell,0.05,0.5023467160491356,82,NA
146_b_cell mast_cell,0.012547468380599053,mono_derived b_cell,mono_derived,b_cell,0.05,0.5009484680203954,29,NA
67_dendritic granulocyte,0.012415917377003496,b_cell granulocyte,b_cell,granulocyte,0.05,0.4983155100336231,32,NA
25_mast_cell t_cell,0.0124130342683509,epithelial mast_cell,epithelial,mast_cell,0.05,0.49825764958203905,NA,NA
47_granulocyte mast_cell,0.01220038769606921,t_cell mast_cell,t_cell,mast_cell,0.05,0.49397141002428896,37,NA
150_dendritic t_cell,0.012172744491993943,mono_derived dendritic,mono_derived,dendritic,0.05,0.4934114812607007,31,NA
177_dendritic t_cell,0.01201599305635566,mono_derived t_cell,mono_derived,t_cell,0.05,0.4902242967531426,71,NA
98_dendritic natural_killer,0.011756462306145011,mono_derived dendritic,mono_derived,dendritic,0.05,0.4849012746146376,31,NA
145_b_cell t_cell,0.011517901073739347,natural_killer b_cell,natural_killer,b_cell,0.05,0.4799562703776115,54,NA
259_dendritic mast_cell,0.011202178258509925,natural_killer dendritic,natural_killer,dendritic,0.05,0.47333240452159886,74,NA
162_mast_cell natural_killer,0.010720593046611198,t_cell mast_cell,t_cell,mast_cell,0.05,0.4630462837905342,37,NA
16_dendritic mast_cell,0.010461867611644474,epithelial mast_cell,epithelial,mast_cell,0.05,0.45742469569634026,NA,NA
189_mast_cell natural_killer,0.010425288323446216,dendritic mast_cell,dendritic,mast_cell,0.05,0.45662431655456576,68,NA
115_b_cell dendritic,0.010412642672285737,mono_derived b_cell,mono_derived,b_cell,0.05,0.4563472947719913,29,NA
261_granulocyte mono_derived,0.010233902565265938,b_cell granulocyte,b_cell,granulocyte,0.05,0.45241358435099926,32,NA
23_mast_cell mono_derived,0.010178854946785021,dendritic mono_derived,dendritic,mono_derived,0.05,0.451195189397782,31,NA
136_endothelial epithelial,0.009964346305288174,fibroblast epithelial,fibroblast,epithelial,0.05,0.4464156427655324,75,NA
92_b_cell mast_cell,0.00976636790642661,dendritic mast_cell,dendritic,mast_cell,0.05,0.44195854797540934,68,NA
37_b_cell t_cell,0.009503771883306063,endothelial t_cell,endothelial,t_cell,0.05,0.4359764187041786,NA,NA
102_granulocyte natural_killer,0.009434685086433612,t_cell natural_killer,t_cell,natural_killer,0.05,0.4343888830629442,59,NA
221_epithelial immune_cell,0.009215949004832115,endothelial epithelial,endothelial,epithelial,0.05,0.4293238638797549,41,NA
