sample,error mean,pair,ct1,ct2,error min,error mean relative,n markers pass 1,n markers
99_granulocyte mono_derived,2.0037181168825704e-5,dendritic granulocyte,dendritic,granulocyte,0.05,0.020018581952189172,70,NA
251_b_cell granulocyte,1.9538346964476716e-5,t_cell b_cell,t_cell,b_cell,0.05,0.019767825861473343,47,NA
190_endothelial epithelial,1.783941933227791e-5,fibroblast endothelial,fibroblast,endothelial,0.05,0.018888842914417975,30,NA
103_mono_derived t_cell,1.643834323565399e-5,natural_killer mono_derived,natural_killer,mono_derived,0.05,0.01813192942610024,53,NA
249_fibroblast immune_cell,1.5692596358449234e-5,endothelial fibroblast,endothelial,fibroblast,0.05,0.017715866537343992,30,NA
108_mast_cell natural_killer,1.555693869183762e-5,t_cell mast_cell,t_cell,mast_cell,0.05,0.01763912622089746,37,NA
109_endothelial epithelial,1.5552513337805202e-5,fibroblast endothelial,fibroblast,endothelial,0.05,0.017636617214083432,30,NA
253_b_cell t_cell,1.5512897693977726e-5,natural_killer b_cell,natural_killer,b_cell,0.05,0.017614140736338928,54,NA
88_b_cell dendritic,1.5223541318484127e-5,mono_derived b_cell,mono_derived,b_cell,0.05,0.01744909242252108,29,NA
220_epithelial fibroblast,1.3109589906695377e-5,endothelial epithelial,endothelial,epithelial,0.05,0.01619233763648435,41,NA
57_endothelial immune_cell,1.1176057417132283e-5,epithelial endothelial,epithelial,endothelial,0.05,0.01495062367738034,41,NA
28_endothelial epithelial,1.0214322422388592e-5,fibroblast endothelial,fibroblast,endothelial,0.05,0.014292881040845888,30,NA
75_granulocyte natural_killer,9.850973983531726e-6,t_cell granulocyte,t_cell,granulocyte,0.05,0.014036362764998435,82,NA
1_endothelial epithelial,9.650468214611065e-6,fibroblast endothelial,fibroblast,endothelial,0.05,0.013892781013613555,30,NA
33_fibroblast immune_cell,8.799915313829184e-6,endothelial fibroblast,endothelial,fibroblast,0.05,0.013266435326664947,30,NA
217_endothelial epithelial,8.69195138028314e-6,fibroblast endothelial,fibroblast,endothelial,0.05,0.01318480290355767,30,NA
226_b_cell t_cell,8.319359505545351e-6,natural_killer b_cell,natural_killer,b_cell,0.05,0.012899115865473378,54,NA
60_fibroblast immune_cell,7.526482090675704e-6,endothelial fibroblast,endothelial,fibroblast,0.05,0.012269052197032747,30,NA
143_b_cell granulocyte,7.315359417767248e-6,natural_killer b_cell,natural_killer,b_cell,0.05,0.012095750838841917,54,NA
165_endothelial immune_cell,7.280021652925077e-6,epithelial endothelial,epithelial,endothelial,0.05,0.012066500447872263,41,NA
110_endothelial fibroblast,6.247942625211413e-6,epithelial endothelial,epithelial,endothelial,0.05,0.011178499564084093,41,NA
257_dendritic mono_derived,4.654272920989206e-6,b_cell dendritic,b_cell,dendritic,0.05,0.009648080556244549,64,NA
100_granulocyte t_cell,4.352550666389561e-6,natural_killer granulocyte,natural_killer,granulocyte,0.05,0.009330113253749453,53,NA
164_endothelial fibroblast,4.172754585249894e-6,epithelial endothelial,epithelial,endothelial,0.05,0.009135375838190669,41,NA
111_endothelial immune_cell,3.169465555391992e-6,epithelial endothelial,epithelial,endothelial,0.05,0.007961740457201542,41,NA
79_mast_cell t_cell,2.710454376393114e-6,natural_killer mast_cell,natural_killer,mast_cell,0.05,0.007362682087925723,68,NA
62_b_cell granulocyte,2.5311141208889964e-6,mono_derived b_cell,mono_derived,b_cell,0.05,0.007114933760603814,29,NA
191_endothelial fibroblast,2.231665428183346e-6,epithelial endothelial,epithelial,endothelial,0.05,0.006680816459360856,41,NA
38_b_cell mast_cell,1.9637307009060876e-6,epithelial b_cell,epithelial,b_cell,0.05,0.006266946147696001,NA,NA
83_endothelial fibroblast,1.9081152411147112e-6,epithelial endothelial,epithelial,endothelial,0.05,0.006177564635217848,41,NA
137_endothelial fibroblast,1.578752346374335e-6,epithelial endothelial,epithelial,endothelial,0.05,0.005619167814497686,41,NA
